album_id,album_pai,categoria,titulo,subtitulo,capa,descricao
carnaval-2026,,carnaval,Carnaval,2026,images/carnaval-2026/carnaval-2026-06.jpg,
drone,,drone,Drone,,images/drone-bela-vista/drone-bela-vista-01.jpg,
drone-bela-vista,drone,drone,Bela Vista,,images/drone-bela-vista/drone-bela-vista-01.jpg,
drone-inatel,drone,drone,Inatel,,images/drone-inatel/drone-inatel-01.jpg,
drone-pedralva,drone,drone,Pedralva,,images/drone-pedralva/drone-pedralva-01.jpg,
drone-santa-rita,drone,drone,Santa Rita do Sapucaí,,images/drone-santa-rita/drone-santa-rita-01.jpg,
santa-rita-2026,,santa-rita,Festa de Santa Rita,2026,images/sr26-parque/sr26-parque-02.jpg,
sr26-bandas-aleatorias,santa-rita-2026,santa-rita,Bandas Aleatórias,,images/sr26-bandas-aleatorias/sr26-bandas-aleatorias-02.jpg,
sr26-clayton-romario,santa-rita-2026,santa-rita,Clayton e Romário,,images/sr26-clayton-romario/sr26-clayton-romario-02.jpg,
sr26-djs,santa-rita-2026,santa-rita,DJ's,,images/sr26-djs/sr26-djs-01.jpg,
sr26-drone,santa-rita-2026,santa-rita,Vista Aérea,Drone,images/sr26-drone/sr26-drone-01.jpg,
sr26-edson-hudson,santa-rita-2026,santa-rita,Edson e Hudson,,images/sr26-edson-hudson/sr26-edson-hudson-01.jpg,
sr26-katinguele,santa-rita-2026,santa-rita,Katinguelê,,images/sr26-katinguele/sr26-katinguele-01.jpg,
sr26-paralamas,santa-rita-2026,santa-rita,Paralamas do Sucesso,Show,images/sr26-paralamas/sr26-paralamas-01.jpg,
sr26-parque,santa-rita-2026,santa-rita,Parque de Diversões,,images/sr26-parque/sr26-parque-01.jpg,
sr26-esporte,santa-rita-2026,santa-rita,Esporte,,images/esporte/esporte-08.jpg,
santa-rita-2025,,santa-rita,Festa de Santa Rita,2025,images/sr25-art-popular/sr25-art-popular-01.jpg,
sr25-art-popular,santa-rita-2025,santa-rita,Art Popular,,images/sr25-art-popular/sr25-art-popular-01.jpg,
sr25-artesanato,santa-rita-2025,santa-rita,Artesanato,,images/sr25-artesanato/sr25-artesanato-02.jpg,
sr25-bandas,santa-rita-2025,santa-rita,Bandas,,images/sr25-bandas/sr25-bandas-01.jpg,
sr25-dj,santa-rita-2025,santa-rita,DJ,,images/sr25-dj/sr25-dj-01.jpg,
sr25-marcos-belutti,santa-rita-2025,santa-rita,Marcos & Belutti,Show,images/sr25-marcos-belutti/sr25-marcos-belutti-01.jpg,
sr25-parque,santa-rita-2025,santa-rita,Parque de Diversões,,images/sr25-parque/sr25-parque-01.jpg,
sr25-religiao,santa-rita-2025,santa-rita,Procissão,Religioso,images/sr25-religiao/sr25-religiao-01.jpg,
sr25-teodoro-sampaio,santa-rita-2025,santa-rita,Teodoro & Sampaio,,images/sr25-teodoro-sampaio/sr25-teodoro-sampaio-01.jpg,
sr25-esporte,santa-rita-2025,santa-rita,Esporte,,images/esporte/esporte-14.jpg,
acs-beer,,festa-particular,ACS Beer,10 Anos,images/acs-beer/acs-beer-01.jpg,
natureza,,natureza,Natureza,,images/natureza/natureza-01.jpg,
hacktown-2025,,hacktown,Hacktown,2025,images/hacktown-2025/hacktown-2025-01.jpg,
maquiagem-julia,,maquiagem,Júlia,,images/maquiagem-julia/maquiagem-julia-01.jpg,
retratos-chagas,,retratos,Chagas,,images/retratos-chagas/retratos-chagas-01.jpg,
retratos-doll,,retratos,Doll,,images/retratos-doll/retratos-doll-03.jpg,
retratos-jessica,,retratos,Jéssica,,images/retratos-jessica/retratos-jessica-02.jpg,
retratos-rafaelly,,retratos,Rafaely,,images/retratos-rafaelly/retratos-rafaelly-06.jpg,
retratos-hanna,,retratos,Hanna,,images/retratos-hanna/retratos-hanna-01.jpg,
retratos-carolina,,retratos,Carolina Gissoni,,images/retratos-carolina/retratos-carolina-04.jpg,
retratos-carol,,retratos,Carol,,images/retratos-carol/retratos-carol-14.jpg,
castracao-2026,,festa-particular,Veterinárias,2026,images/castracao-2026/castracao-2026-05.jpg,
feirao-folclorico-2026,,festa-particular,Feirão Folclórico,2026,images/feirao-carros-antigos/feirao-carros-antigos-01.jpg,
feirao-banda,feirao-folclorico-2026,festa-particular,Banda,,images/feirao-banda/feirao-banda-01.jpg,
feirao-bruna-viola,feirao-folclorico-2026,festa-particular,Bruna Viola,,images/feirao-bruna-viola/feirao-bruna-viola-01.jpg,
feirao-carros-antigos,feirao-folclorico-2026,festa-particular,Carros Antigos,,images/feirao-carros-antigos/feirao-carros-antigos-01.jpg,
feirao-desfile-cavaleiros,feirao-folclorico-2026,festa-particular,Desfile de Cavaleiros,,images/feirao-desfile-cavaleiros/feirao-desfile-cavaleiros-01.jpg,
feirao-pessoas-na-festa,feirao-folclorico-2026,festa-particular,Pessoas na Festa,,images/feirao-pessoas-na-festa/feirao-pessoas-na-festa-01.jpg,
feirao-rainhas,feirao-folclorico-2026,festa-particular,Rainhas,,images/feirao-rainhas/feirao-rainhas-01.jpg,
feirao-violeiros-da-terra,feirao-folclorico-2026,festa-particular,Violeiros da Terra,,images/feirao-violeiros-da-terra/feirao-violeiros-da-terra-01.jpg,
feirao-2025,,festa-particular,Feirão Folclórico,2025,images/feirao-2025/feirao-2025-01.jpg,
